date	A	B	C	D	E	F	proj_name
2014-03-16	708	33	9	2	0	0	bottle
2013-09-05	728	33	10	2	0	0	bottle
2013-06-05	707	30	10	2	0	0	bottle
2013-02-11	669	30	7	2	1	0	bottle
2012-09-11	655	29	7	2	1	0	bottle
2012-03-26	648	28	7	2	1	0	bottle
2011-12-03	611	26	7	2	1	0	bottle
2011-10-11	579	31	8	1	1	0	bottle
2011-08-30	558	27	7	1	1	0	bottle
2011-05-12	510	29	7	1	1	0	bottle
2011-02-24	456	23	7	1	1	0	bottle
2010-09-02	426	22	6	1	1	0	bottle
2010-06-26	375	17	5	1	1	0	bottle
2010-04-13	354	16	5	2	0	0	bottle
2010-03-08	332	14	4	1	1	0	bottle
2010-01-31	282	9	4	1	0	0	bottle
2009-11-16	212	8	6	0	0	0	bottle
2009-10-01	171	9	6	0	0	0	bottle
2009-07-17	112	5	3	0	0	0	bottle
2009-06-30	0	0	0	0	0	0	bottle
