date	length	volume	difficulty	effort	time	bugs	proj_name
2014-03-16	1943	19571.46	11.37	222481.94	12360.11	6.52	bottle
2013-09-05	2001	20250.60	11.34	229661.01	12758.94	6.75	bottle
2013-06-05	1856	18583.43	11.33	210493.10	11694.06	6.19	bottle
2013-02-11	1804	17975.67	11.40	204922.65	11384.59	5.99	bottle
2012-09-11	1776	17660.51	11.39	201121.38	11173.41	5.89	bottle
2012-03-26	1727	17101.40	11.41	195198.46	10844.36	5.70	bottle
2011-12-03	1614	15826.47	11.43	180902.34	10050.13	5.28	bottle
2011-10-11	1554	15148.69	11.48	173858.71	9658.82	5.05	bottle
2011-08-30	1465	14159.72	11.46	162336.78	9018.71	4.72	bottle
2011-05-12	1401	13457.28	11.43	153749.39	8541.63	4.49	bottle
2011-02-24	1303	12388.66	11.39	141097.89	7838.77	4.13	bottle
2010-09-02	1265	11968.77	12.03	143974.71	7998.60	3.99	bottle
2010-06-26	1148	10711.89	12.00	128577.04	7143.17	3.57	bottle
2010-04-13	1094	10148.08	11.92	120931.29	6718.40	3.38	bottle
2010-03-08	967	8825.52	11.10	97971.48	5442.86	2.94	bottle
2010-01-31	782	6902.36	9.92	68470.79	3803.93	2.30	bottle
2009-11-16	648	5543.37	10.61	58809.31	3267.18	1.85	bottle
2009-10-01	593	5023.70	9.13	45880.19	2548.90	1.67	bottle
2009-07-17	333	2557.27	8.03	20525.08	1140.28	0.85	bottle
2009-06-30	0	0.00	0.00	0.00	0.00	0.00	bottle
