date	A	B	C	D	E	F	proj_name
2014-07-05	18347	774	235	55	9	7	django
2014-03-03	17956	764	248	50	10	5	django
2013-11-13	16992	726	237	46	10	6	django
2013-07-31	15961	668	209	43	8	6	django
2013-04-01	15497	685	216	46	7	7	django
2012-12-10	15222	713	225	46	6	9	django
2012-08-15	14879	702	216	40	8	12	django
2012-03-02	14642	717	224	37	9	12	django
2011-07-25	13409	657	201	33	13	11	django
2011-01-21	12165	624	192	29	12	12	django
2010-09-10	9397	519	180	28	11	11	django
2010-01-10	8350	517	175	31	14	9	django
2009-03-24	6720	463	155	24	16	7	django
2008-08-29	5781	422	143	21	18	3	django
2008-06-12	4008	335	127	23	9	4	django
2007-09-14	3427	302	101	25	4	4	django
2007-03-12	2761	217	80	19	2	3	django
2006-07-07	2292	175	72	19	0	4	django
2005-11-17	1469	121	50	15	2	6	django
2005-07-13	0	0	0	0	0	0	django
