date	A	B	C	D	E	F	proj_name
2014-07-05	18347	774	235	55	9	7	django
2014-03-03	17956	764	248	50	10	5	django
2013-11-13	16992	726	237	46	10	6	django
2013-07-31	15961	668	209	43	8	6	django
2013-04-01	15497	685	216	46	7	7	django
2012-12-10	15222	713	225	46	6	9	django
2012-08-15	14879	702	216	40	8	12	django
2012-03-02	14642	717	224	37	9	12	django
2011-07-25	13409	657	201	33	13	11	django
2011-01-21	12165	624	192	29	12	12	django
2010-09-10	9397	519	180	28	11	11	django
2010-01-10	8350	517	175	31	14	9	django
2009-03-24	6720	463	155	24	16	7	django
2008-08-29	5781	422	143	21	18	3	django
2008-06-12	4008	335	127	23	9	4	django
2007-09-14	3427	302	101	25	4	4	django
2007-03-12	2761	217	80	19	2	3	django
2006-07-07	2292	175	72	19	0	4	django
2005-11-17	1469	121	50	15	2	6	django
2005-07-13	0	0	0	0	0	0	django
2013-03-26	634	41	8	1	0	0	pyramid
2012-10-11	615	41	7	1	0	0	pyramid
2012-07-16	577	36	7	1	0	0	pyramid
2012-04-12	567	31	7	1	0	0	pyramid
2012-03-12	539	31	6	1	0	0	pyramid
2012-01-16	516	29	6	1	0	0	pyramid
2011-09-22	486	29	6	1	0	0	pyramid
2011-08-26	429	30	10	1	0	0	pyramid
2011-07-30	344	38	13	2	0	0	pyramid
2011-06-28	327	38	13	2	0	0	pyramid
2011-06-05	295	37	10	2	0	0	pyramid
2011-03-14	237	27	8	2	0	0	pyramid
2010-08-09	229	25	5	2	0	0	pyramid
2010-07-18	205	23	5	1	0	0	pyramid
2010-07-04	178	23	3	1	0	0	pyramid
2010-06-07	162	22	4	0	0	0	pyramid
2010-05-18	139	19	4	0	0	0	pyramid
2010-04-23	119	10	1	0	0	0	pyramid
2010-04-18	90	8	1	0	0	0	pyramid
2010-04-06	49	2	0	0	0	0	pyramid
2012-03-12	24548	685	167	20	2	2	twisted
2009-08-16	21557	663	168	20	1	2	twisted
2007-03-11	19739	722	185	24	4	1	twisted
2006-01-04	19338	749	186	28	4	2	twisted
2005-05-06	16801	667	182	22	4	1	twisted
2004-11-23	20104	788	205	22	6	2	twisted
2004-08-20	18296	697	175	18	4	2	twisted
2004-03-23	17020	641	166	17	4	2	twisted
2003-11-17	15551	585	149	16	2	2	twisted
2003-09-20	14585	602	159	19	2	1	twisted
2003-07-20	12496	514	146	13	2	2	twisted
2003-05-22	11181	458	125	13	2	2	twisted
2003-04-03	9824	400	117	11	2	2	twisted
2003-01-21	8467	346	96	9	2	2	twisted
2002-11-24	7510	275	79	8	1	2	twisted
2002-10-18	6863	246	68	9	3	1	twisted
2002-08-29	6174	225	64	7	4	0	twisted
2002-05-11	5349	207	50	4	1	0	twisted
2002-01-15	4356	179	44	3	1	0	twisted
2001-07-09	1770	65	18	2	0	0	twisted
2014-03-16	708	33	9	2	0	0	bottle
2013-09-05	728	33	10	2	0	0	bottle
2013-06-05	707	30	10	2	0	0	bottle
2013-02-11	669	30	7	2	1	0	bottle
2012-09-11	655	29	7	2	1	0	bottle
2012-03-26	648	28	7	2	1	0	bottle
2011-12-03	611	26	7	2	1	0	bottle
2011-10-11	579	31	8	1	1	0	bottle
2011-08-30	558	27	7	1	1	0	bottle
2011-05-12	510	29	7	1	1	0	bottle
2011-02-24	456	23	7	1	1	0	bottle
2010-09-02	426	22	6	1	1	0	bottle
2010-06-26	375	17	5	1	1	0	bottle
2010-04-13	354	16	5	2	0	0	bottle
2010-03-08	332	14	4	1	1	0	bottle
2010-01-31	282	9	4	1	0	0	bottle
2009-11-16	212	8	6	0	0	0	bottle
2009-10-01	171	9	6	0	0	0	bottle
2009-07-17	112	5	3	0	0	0	bottle
2009-06-30	0	0	0	0	0	0	bottle
