date	length	volume	difficulty	effort	time	bugs	proj_name
2014-07-05	44284	641934.44	16.34	10489110.90	582728.38	213.98	django
2014-03-03	44565	646357.46	16.35	10565955.57	586997.53	215.45	django
2013-11-13	42941	620372.20	16.39	10167625.08	564868.06	206.79	django
2013-07-31	39750	569756.82	16.41	9347366.38	519298.13	189.92	django
2013-04-01	40443	580762.45	16.39	9515937.39	528663.19	193.59	django
2012-12-10	41443	596039.49	16.54	9857582.64	547643.48	198.68	django
2012-08-15	40558	581829.38	16.60	9660164.12	536675.78	193.94	django
2012-03-02	41329	594033.00	17.25	10247636.80	569313.16	198.01	django
2011-07-25	38627	551441.05	17.25	9509602.55	528311.25	183.81	django
2011-01-21	36444	517414.56	17.17	8886162.77	493675.71	172.47	django
2010-09-10	31216	436295.22	17.14	7480142.47	415563.47	145.43	django
2010-01-10	31091	434013.53	17.28	7501654.89	416758.60	144.67	django
2009-03-24	27411	377749.61	17.26	6518177.29	362120.96	125.92	django
2008-08-29	24380	331937.84	17.22	5715886.89	317549.27	110.65	django
2008-06-12	19963	265928.77	17.29	4598780.45	255487.80	88.64	django
2007-09-14	18293	241368.87	17.34	4185689.47	232538.30	80.46	django
2007-03-12	14164	182057.04	15.73	2864387.10	159132.62	60.69	django
2006-07-07	12513	158828.15	15.55	2469877.66	137215.43	52.94	django
2005-11-17	10171	126419.50	15.20	1921560.22	106753.35	42.14	django
2005-07-13	0	0.00	0.00	0.00	0.00	0.00	django
2014-01-28	6232	72631.69	14.08	1022514.49	56806.36	24.21	pyramid
2013-09-05	6046	70203.04	14.07	987723.16	54873.51	23.40	pyramid
2013-05-09	6254	72952.23	14.01	1021942.02	56774.56	24.32	pyramid
2013-01-28	6234	72693.97	14.00	1017941.64	56552.31	24.23	pyramid
2012-09-15	6010	69768.39	13.99	976329.96	54240.55	23.26	pyramid
2012-03-25	5975	69278.88	14.06	973987.47	54110.41	23.09	pyramid
2012-01-11	5640	65012.21	13.90	903867.31	50214.85	21.67	pyramid
2011-08-20	4280	47555.66	12.20	580122.68	32229.04	15.85	pyramid
2011-08-25	4353	48476.53	12.19	591133.53	32840.75	16.16	pyramid
2011-07-12	3872	42492.93	12.15	516300.87	28683.38	14.16	pyramid
2011-04-11	3207	34374.33	12.02	413193.54	22955.20	11.46	pyramid
2011-01-12	3296	35417.74	11.49	407126.85	22618.16	11.81	pyramid
2010-12-14	3212	34394.81	11.48	394844.09	21935.78	11.46	pyramid
2010-11-09	3072	32686.83	11.52	376582.14	20921.23	10.90	pyramid
2010-07-26	2703	28227.28	11.00	310602.68	17255.70	9.41	pyramid
2009-12-20	2463	25417.35	10.29	261665.80	14536.99	8.47	pyramid
2009-10-15	3128	33080.29	10.23	338246.48	18791.47	11.03	pyramid
2009-06-01	2269	22888.45	10.43	238696.92	13260.94	7.63	pyramid
2008-12-21	980	8825.51	9.68	85425.30	4745.85	2.94	pyramid
2008-07-04	88	531.91	5.18	2754.52	153.03	0.18	pyramid
2012-03-12	49052	719933.69	17.25	12421071.05	690059.50	239.98	twisted
2009-08-16	51881	765237.98	17.34	13270222.94	737234.61	255.08	twisted
2007-03-11	52047	767664.65	17.38	13339219.47	741067.75	255.89	twisted
2006-01-04	53538	791152.95	17.52	13857514.10	769861.89	263.72	twisted
