date	length	volume	difficulty	effort	time	bugs	proj_name
2014-01-28	6232	72631.69	14.08	1022514.49	56806.36	24.21	pyramid
2013-09-05	6046	70203.04	14.07	987723.16	54873.51	23.40	pyramid
2013-05-09	6254	72952.23	14.01	1021942.02	56774.56	24.32	pyramid
2013-01-28	6234	72693.97	14.00	1017941.64	56552.31	24.23	pyramid
2012-09-15	6010	69768.39	13.99	976329.96	54240.55	23.26	pyramid
2012-03-25	5975	69278.88	14.06	973987.47	54110.41	23.09	pyramid
2012-01-11	5640	65012.21	13.90	903867.31	50214.85	21.67	pyramid
2011-08-20	4280	47555.66	12.20	580122.68	32229.04	15.85	pyramid
2011-08-25	4353	48476.53	12.19	591133.53	32840.75	16.16	pyramid
2011-07-12	3872	42492.93	12.15	516300.87	28683.38	14.16	pyramid
2011-04-11	3207	34374.33	12.02	413193.54	22955.20	11.46	pyramid
2011-01-12	3296	35417.74	11.49	407126.85	22618.16	11.81	pyramid
2010-12-14	3212	34394.81	11.48	394844.09	21935.78	11.46	pyramid
2010-11-09	3072	32686.83	11.52	376582.14	20921.23	10.90	pyramid
2010-07-26	2703	28227.28	11.00	310602.68	17255.70	9.41	pyramid
2009-12-20	2463	25417.35	10.29	261665.80	14536.99	8.47	pyramid
2009-10-15	3128	33080.29	10.23	338246.48	18791.47	11.03	pyramid
2009-06-01	2269	22888.45	10.43	238696.92	13260.94	7.63	pyramid
2008-12-21	980	8825.51	9.68	85425.30	4745.85	2.94	pyramid
2008-07-04	88	531.91	5.18	2754.52	153.03	0.18	pyramid
