date	A	B	C	D	E	F	proj_name
2013-03-26	634	41	8	1	0	0	pyramid
2012-10-11	615	41	7	1	0	0	pyramid
2012-07-16	577	36	7	1	0	0	pyramid
2012-04-12	567	31	7	1	0	0	pyramid
2012-03-12	539	31	6	1	0	0	pyramid
2012-01-16	516	29	6	1	0	0	pyramid
2011-09-22	486	29	6	1	0	0	pyramid
2011-08-26	429	30	10	1	0	0	pyramid
2011-07-30	344	38	13	2	0	0	pyramid
2011-06-28	327	38	13	2	0	0	pyramid
2011-06-05	295	37	10	2	0	0	pyramid
2011-03-14	237	27	8	2	0	0	pyramid
2010-08-09	229	25	5	2	0	0	pyramid
2010-07-18	205	23	5	1	0	0	pyramid
2010-07-04	178	23	3	1	0	0	pyramid
2010-06-07	162	22	4	0	0	0	pyramid
2010-05-18	139	19	4	0	0	0	pyramid
2010-04-23	119	10	1	0	0	0	pyramid
2010-04-18	90	8	1	0	0	0	pyramid
2010-04-06	49	2	0	0	0	0	pyramid
