date	A	B	C	D	E	F	proj_name
2012-03-12	24548	685	167	20	2	2	twisted
2009-08-16	21557	663	168	20	1	2	twisted
2007-03-11	19739	722	185	24	4	1	twisted
2006-01-04	19338	749	186	28	4	2	twisted
2005-05-06	16801	667	182	22	4	1	twisted
2004-11-23	20104	788	205	22	6	2	twisted
2004-08-20	18296	697	175	18	4	2	twisted
2004-03-23	17020	641	166	17	4	2	twisted
2003-11-17	15551	585	149	16	2	2	twisted
2003-09-20	14585	602	159	19	2	1	twisted
2003-07-20	12496	514	146	13	2	2	twisted
2003-05-22	11181	458	125	13	2	2	twisted
2003-04-03	9824	400	117	11	2	2	twisted
2003-01-21	8467	346	96	9	2	2	twisted
2002-11-24	7510	275	79	8	1	2	twisted
2002-10-18	6863	246	68	9	3	1	twisted
2002-08-29	6174	225	64	7	4	0	twisted
2002-05-11	5349	207	50	4	1	0	twisted
2002-01-15	4356	179	44	3	1	0	twisted
2001-07-09	1770	65	18	2	0	0	twisted
