date	length	volume	difficulty	effort	time	bugs	proj_name
2012-03-12	49052	719933.69	17.25	12421071.05	690059.50	239.98	twisted
2009-08-16	51881	765237.98	17.34	13270222.94	737234.61	255.08	twisted
2007-03-11	52047	767664.65	17.38	13339219.47	741067.75	255.89	twisted
2006-01-04	53538	791152.95	17.52	13857514.10	769861.89	263.72	twisted
2005-05-06	47480	694284.90	17.29	12005433.67	666968.54	231.43	twisted
2004-11-23	56800	842698.87	17.84	15034262.21	835236.79	280.90	twisted
2004-08-20	49341	722017.82	17.83	12871054.23	715058.57	240.67	twisted
2004-03-23	46005	668443.29	17.85	11930861.12	662825.62	222.81	twisted
2003-11-17	40995	590101.00	17.48	10312171.33	572898.41	196.70	twisted
2003-09-20	41031	590144.53	17.63	10403039.91	577946.66	196.71	twisted
2003-07-20	35922	510981.66	17.22	8798303.48	488794.64	170.33	twisted
2003-05-22	32635	459979.07	17.12	7873866.22	437437.01	153.33	twisted
2003-04-03	28857	401844.37	16.40	6591543.99	366196.89	133.95	twisted
2003-01-21	24666	337977.79	16.38	5534859.60	307492.20	112.66	twisted
2002-11-24	20644	277914.62	16.19	4498951.17	249941.73	92.64	twisted
2002-10-18	18754	249871.13	16.20	4047582.36	224865.69	83.29	twisted
2002-08-29	17464	230909.71	16.20	3739886.65	207771.48	76.97	twisted
2002-05-11	15170	196892.46	16.07	3163563.72	175753.54	65.63	twisted
2002-01-15	12797	162890.08	16.17	2633654.62	146314.15	54.30	twisted
2001-07-09	4633	52298.64	14.10	737351.79	40963.99	17.43	twisted
